pattern;leaf_pattern;total;Q1;Q10;Q12;Q13;Q14;Q18;Q19;Q3;Q4;Q5;Q6;Q7;Q8;Q9
Hash Join → [Seq Scan (Outer), Hash (Inner)];False;2269;0;0;0;150;150;150;150;150;0;450;0;450;450;169
Hash → Seq Scan (Outer);True;2100;0;300;0;0;150;0;150;150;0;300;0;300;450;300
Hash → Hash Join (Outer);False;1069;0;0;0;0;0;0;0;0;0;300;0;300;300;169
Hash Join → [Nested Loop (Outer), Hash (Inner)];False;900;0;150;0;0;0;0;0;0;0;150;0;150;300;150
Nested Loop → [Hash Join (Outer), Index Scan (Inner)];False;881;0;0;0;0;0;0;0;150;0;150;0;150;300;131
Gather → Aggregate (Outer);False;600;0;0;0;0;150;0;150;0;0;0;150;0;0;150
Nested Loop → [Seq Scan (Outer), Index Scan (Inner)];True;600;0;150;150;0;0;0;0;0;150;0;0;0;0;150
Sort → Hash Join (Outer);False;600;0;0;0;0;0;150;0;0;0;150;0;150;150;0
Aggregate → Hash Join (Outer);False;469;0;0;0;150;150;0;150;0;0;0;0;0;0;19
Aggregate → Gather (Outer);False;450;0;150;0;0;0;0;0;150;0;0;0;0;0;150
Hash Join → [Hash Join (Outer), Hash (Inner)];False;300;0;150;0;0;0;0;0;0;0;0;0;0;0;150
Aggregate → Seq Scan (Outer);True;300;150;0;0;0;0;0;0;0;0;0;150;0;0;0
Aggregate → Nested Loop (Outer);False;281;0;0;0;0;0;0;0;0;150;0;0;0;0;131
Gather → Nested Loop (Outer);False;150;0;0;0;0;0;0;0;150;0;0;0;0;0;0
Gather → Hash Join (Outer);False;150;0;150;0;0;0;0;0;0;0;0;0;0;0;0
Sort → Nested Loop (Outer);False;150;0;0;150;0;0;0;0;0;0;0;0;0;0;0
Hash → Index Only Scan (Outer);True;150;0;0;0;150;0;0;0;0;0;0;0;0;0;0
Incremental Sort → Nested Loop (Outer);False;150;0;0;0;0;0;150;0;0;0;0;0;0;0;0
Nested Loop → [Merge Join (Outer), Index Scan (Inner)];False;150;0;0;0;0;0;150;0;0;0;0;0;0;0;0
Hash → Aggregate (Outer);False;150;0;0;0;0;0;150;0;0;0;0;0;0;0;0
Sort → Seq Scan (Outer);True;150;0;0;0;0;0;150;0;0;0;0;0;0;0;0
