node_type;count;mean_total_ms;std_total_ms;min_total_ms;max_total_ms;mean_startup_ms;std_startup_ms;min_startup_ms;max_startup_ms;startup_total_ratio
Incremental Sort;150;2909.904806666667;20.847842517798696;2867.765;2976.103;2909.9025599999995;20.848566979379918;2867.736;2976.101;0.9999992260997488
Merge Join;150;2909.7794333333336;20.849485660022207;2867.684;2976.013;2907.5742999999998;20.790635799553236;2865.982;2973.309;0.9992422862902894
Limit;750;1382.0439653333333;889.4661122054503;357.556;3127.694;1380.0552386666666;886.9230739121223;357.522;3123.248;0.999042575699613
Gather Merge;1350;1097.7230133333333;745.875209372568;134.164;3011.885;1092.099491111111;747.2482001205493;113.941;3007.436;0.9808799581343448
Sort;3150;1007.8080644444444;734.7249659390515;62.425;3011.945;1006.8020076190476;733.9409057220316;60.214;3007.499;0.9973313543064591
Aggregate;4500;977.8773517777779;594.5527356230173;22.004;3011.901;905.0593835555555;514.9304443615343;22.003;3007.448;0.9638008450438655
Nested Loop;2531;920.51880007902;674.3934924103248;0.024;2976.063;197.1747554326353;681.7599830282273;0.022;2973.336;0.24362331635138057
Gather;1650;598.295;458.24064802940734;0.401;1321.615;345.06701696969697;438.48629002002366;0.305;1315.146;0.634563349240598
Hash Join;5269;471.91586126399693;596.1879818888085;0.056;2922.14;122.97772252799395;454.5022175523744;0.022;2831.238;0.2342559986024647
Seq Scan;8269;145.22346498972067;246.70461890935897;0.0;884.639;1.4513920667553515;3.31818707158835;0.0;17.524;0.26358377909921754
Index Scan;2681;118.89757553151807;488.3735137396984;0.0;2198.22;0.03402461767997016;0.0311562766204208;0.0;0.501;0.9249595611374787
Hash;5269;104.64639628012905;439.41681941650074;0.007;2690.081;104.64575669007401;439.4167201029969;0.007;2690.081;0.9955980846847804
Index Only Scan;300;30.617916666666666;20.604338431920414;9.21;59.242;2.8165599999999995;2.8499061546011375;0.009;7.469;0.055724602258799126
