template;variant_id;variant_count;patterns;pattern_depths
Q1;1;30;Aggregate_Seq_Scan_Outer;3
Q10;1;30;Nested_Loop_Seq_Scan_Outer_Index_Scan_Inner,Hash_Seq_Scan_Outer,Hash_Seq_Scan_Outer,Gather_Hash_Join_Outer;6,6,5,3
Q12;1;30;Nested_Loop_Seq_Scan_Outer_Index_Scan_Inner;4
Q13;1;30;Hash_Index_Only_Scan_Outer,Aggregate_Hash_Join_Outer;4,2
Q14;1;30;Hash_Seq_Scan_Outer,Aggregate_Hash_Join_Outer;4,2
Q18;1;30;Hash_Aggregate_Outer,Sort_Hash_Join_Outer,Sort_Seq_Scan_Outer,Nested_Loop_Merge_Join_Outer_Index_Scan_Inner;9,7,7,5
Q19;1;30;Hash_Seq_Scan_Outer,Aggregate_Hash_Join_Outer;4,2
Q3;1;30;Hash_Seq_Scan_Outer,Nested_Loop_Hash_Join_Outer_Index_Scan_Inner,Aggregate_Gather_Outer;6,4,2
Q4;1;30;Nested_Loop_Seq_Scan_Outer_Index_Scan_Inner;4
Q5;1;30;Hash_Seq_Scan_Outer,Hash_Hash_Join_Outer,Hash_Hash_Join_Outer,Nested_Loop_Hash_Join_Outer_Index_Scan_Inner,Hash_Seq_Scan_Outer,Sort_Hash_Join_Outer;12,10,8,6,6,4
Q6;1;30;Aggregate_Seq_Scan_Outer;2
Q7;1;30;Hash_Seq_Scan_Outer,Hash_Hash_Join_Outer,Hash_Seq_Scan_Outer,Nested_Loop_Hash_Join_Outer_Index_Scan_Inner,Hash_Hash_Join_Outer,Sort_Hash_Join_Outer;8,6,6,4,4,2
Q8;1;30;Hash_Seq_Scan_Outer,Hash_Hash_Join_Outer,Hash_Hash_Join_Outer,Nested_Loop_Hash_Join_Outer_Index_Scan_Inner,Hash_Seq_Scan_Outer,Nested_Loop_Hash_Join_Outer_Index_Scan_Inner,Hash_Seq_Scan_Outer,Sort_Hash_Join_Outer;12,10,8,6,6,4,4,2
Q9;1;27;Nested_Loop_Seq_Scan_Outer_Index_Scan_Inner,Hash_Seq_Scan_Outer,Hash_Seq_Scan_Outer,Hash_Hash_Join_Outer,Nested_Loop_Hash_Join_Outer_Index_Scan_Inner,Gather_Aggregate_Outer;9,9,8,6,4,2
Q9;2;3;Nested_Loop_Seq_Scan_Outer_Index_Scan_Inner,Hash_Seq_Scan_Outer,Hash_Seq_Scan_Outer,Hash_Hash_Join_Outer,Hash_Hash_Join_Outer,Aggregate_Hash_Join_Outer,Aggregate_Gather_Outer;10,10,9,7,5,3,1
