operator;target;mre_ffs_0.65;mre_ffs_0.5;delta_mre_ffs;mre_final_0.65;mre_final_0.5;delta_mre_final;better_ffs;better_final
Aggregate;execution_time;0.0631370694825884;0.062538580318055;0.0005984891645334084;0.1236739712936138;0.1343007543573953;-0.010626783063781509;nu=0.5;nu=0.65
Aggregate;start_time;0.0750671676458503;0.0758977200834467;-0.0008305524375964018;0.1365393268520671;0.143053163321805;-0.00651383646973791;nu=0.65;nu=0.65
Gather;execution_time;0.0206922902606252;0.0232776088728054;-0.0025853186121801985;0.0802491638289336;0.1031238702290425;-0.0228747064001089;nu=0.65;nu=0.65
Gather;start_time;1.243485401253268;1.849241454829281;-0.6057560535760131;2.716361588482659;2.968999166539146;-0.2526375780564871;nu=0.65;nu=0.65
Gather_Merge;execution_time;0.1311116579319475;0.1339609320136685;-0.002849274081720976;0.1481391896077218;0.1465515047347709;0.0015876848729508841;nu=0.65;nu=0.5
Gather_Merge;start_time;0.1313903130931393;0.1344225210456098;-0.0030322079524705003;0.1401925745493599;0.1427463244228262;-0.0025537498734662933;nu=0.65;nu=0.65
Hash;execution_time;118.03572903108712;160.44897412654282;-42.41324509545571;157.6175545849482;206.6545908849245;-49.03703629997628;nu=0.65;nu=0.65
Hash;start_time;120.39779748685342;163.66022345281334;-43.26242596595992;160.77459320559493;210.7868083820229;-50.012215176427986;nu=0.65;nu=0.65
Hash_Join;execution_time;30.902017996439135;53.10693181001452;-22.204913813575388;51.68520201476258;65.98249105285649;-14.297289038093908;nu=0.65;nu=0.65
Hash_Join;start_time;2.4320383811548503;4.183969111686536;-1.7519307305316856;2.392777867332921;10.795163233393122;-8.402385366060201;nu=0.65;nu=0.65
Incremental_Sort;execution_time;0.0010889124743296;0.0012347450337549;-0.00014583255942529996;0.005469655037125;0.0054262407154564;4.3414321668599175e-05;nu=0.65;nu=0.5
Incremental_Sort;start_time;0.0010889051948594;0.0012348780960406;-0.00014597290118120005;0.0054696762192483;0.0054262584881258;4.34177311224998e-05;nu=0.65;nu=0.5
Index_Only_Scan;execution_time;0.0403580900887861;0.0404230608936804;-6.497080489429458e-05;0.0403580900887861;0.0404230608936804;-6.497080489429458e-05;nu=0.65;nu=0.65
Index_Only_Scan;start_time;0.1847642521165569;0.2249555038831462;-0.0401912517665893;0.1847642521165569;0.2249555038831462;-0.0401912517665893;nu=0.65;nu=0.65
Index_Scan;execution_time;0.4746343685299244;0.4127275159228812;0.061906852607043206;0.4746343685299244;0.4127275159228812;0.061906852607043206;nu=0.5;nu=0.5
Index_Scan;start_time;0.1977257806067091;0.2308791212853655;-0.03315334067865641;0.1977257806067091;0.2308791212853655;-0.03315334067865641;nu=0.65;nu=0.65
Limit;execution_time;0.5314912837917556;0.5559062544364916;-0.024414970644735967;0.5395550585075448;0.5662933897832743;-0.026738331275729443;nu=0.65;nu=0.65
Limit;start_time;0.5305743494440293;0.5549733720223016;-0.02439902257827231;0.5386191146809528;0.5653763116512073;-0.02675719697025447;nu=0.65;nu=0.65
Merge_Join;execution_time;0.0033493837213163;0.0035224468524987;-0.0001730631311823998;0.0052056402388376;0.0052138594086604;-8.219169822800201e-06;nu=0.65;nu=0.65
Merge_Join;start_time;0.0033502943954749;0.0035330765025815;-0.0001827821071065999;0.0052101819861618;0.0052156293935188;-5.447407357000132e-06;nu=0.65;nu=0.65
Nested_Loop;execution_time;0.5842438000951569;0.5900149846080417;-0.0057711845128848305;0.607718803320369;0.6140363420246853;-0.006317538704316283;nu=0.65;nu=0.65
Nested_Loop;start_time;2.469986832768187;7.896174788266332;-5.426187955498145;2.3796983143890076;3.478242032864105;-1.0985437184750975;nu=0.65;nu=0.65
Seq_Scan;execution_time;74.54014779467255;151.56576330304097;-77.02561550836842;74.54014779467255;151.56576330304097;-77.02561550836842;nu=0.65;nu=0.65
Seq_Scan;start_time;1.9411412944871345;3.571371414313171;-1.6302301198260365;1.9411412944871345;3.571371414313171;-1.6302301198260365;nu=0.65;nu=0.65
Sort;execution_time;1.064190695696427;1.0859818882654402;-0.021791192569013074;1.14255018748984;1.1574301534783646;-0.01487996598852459;nu=0.65;nu=0.65
Sort;start_time;1.1026195994092056;1.1241287691581907;-0.02150916974898509;1.1826630149275563;1.197735645918975;-0.015072630991418645;nu=0.65;nu=0.65
