node_type;instance_count;mean_parent_time;mean_max_child_time;ratio_pct
Incremental Sort;120;2910.375383333333;2910.3174833333333;100.00199170167822
Gather Merge;840;1349.872257142857;1337.7282892857143;100.97097613911326
Gather;720;987.1217027777778;974.1919125000001;101.48687977603281
Sort;1680;1273.3710017857143;1271.9901988095237;101.67650841881387
Limit;360;1801.2464194444444;1757.1739305555554;101.77818858529908
Merge Join;120;2910.2460416666668;2845.6863416666665;102.26916523561144
Aggregate;2880;1146.2310784722222;1095.2622267361112;105.84632030771411
Hash;2771;140.4755727174305;139.221382894262;113.8031154577392
Hash Join;2771;626.0729317935763;574.5154695055936;114.30306412601563
Nested Loop;1309;1190.7302589763178;646.5587723453017;424.71712676259074
